Standard,Division,Day,Time,Subject
6,all,monday,9am,Tamil/Malayalam
6,all,monday,10am,English
6,all,monday,11am,Math
6,all,monday,12pm,Lunch
6,all,monday,2pm,Hindi
6,all,monday,3pm,Science
6,all,monday,4pm,Social
6,all,tuesday,9am,English
6,all,tuesday,10am,Math
6,all,tuesday,11am,Hindi
6,all,tuesday,12pm,Lunch
6,all,tuesday,2pm,Science
6,all,tuesday,3pm,Social
6,all,tuesday,4pm,Tamil/Malayalam
6,all,wednesday,9am,Math
6,all,wednesday,10am,Hindi
6,all,wednesday,11am,Science
6,all,wednesday,12pm,Lunch
6,all,wednesday,2pm,Social
6,all,wednesday,3pm,Tamil/Malayalam
6,all,wednesday,4pm,English
6,all,thursday,9am,Hindi
6,all,thursday,10am,Science
6,all,thursday,11am,Social
6,all,thursday,12pm,Lunch
6,all,thursday,2pm,Tamil/Malayalam
6,all,thursday,3pm,English
6,all,thursday,4pm,Math
6,all,friday,9am,Science
6,all,friday,10am,Social
6,all,friday,11am,Tamil/Malayalam
6,all,friday,12pm,Lunch
6,all,friday,2pm,English
6,all,friday,3pm,Math
6,all,friday,4pm,Hindi
