"Standard";"Division";"Day";"Time";"Subject"
7;"all";"monday";"9am";"English"
7;"all";"monday";"10am";"Math"
7;"all";"monday";"11am";"Hindi"
7;"all";"monday";"2pm";"Science"
7;"all";"monday";"3pm";"Social"
7;"all";"monday";"4pm";"Tamil/Malayalam"
7;"all";"tuesday";"9am";"Math"
7;"all";"tuesday";"10am";"Hindi"
7;"all";"tuesday";"11am";"Science"
7;"all";"tuesday";"2pm";"Social"
7;"all";"tuesday";"3pm";"Tamil/Malayalam"
7;"all";"tuesday";"4pm";"English"
7;"all";"wednesday";"9am";"Hindi"
7;"all";"wednesday";"10am";"Science"
7;"all";"wednesday";"11am";"Social"
7;"all";"wednesday";"2pm";"Tamil/Malayalam"
7;"all";"wednesday";"3pm";"English"
7;"all";"wednesday";"4pm";"Math"
7;"all";"thursday";"9am";"Science"
7;"all";"thursday";"10am";"Social"
7;"all";"thursday";"11am";"Tamil/Malayalam"
7;"all";"thursday";"2pm";"English"
7;"all";"thursday";"3pm";"Math"
7;"all";"thursday";"4pm";"Hindi"
7;"all";"friday";"9am";"Social"
7;"all";"friday";"10am";"Tamil/Malayalam"
7;"all";"friday";"11am";"English"
7;"all";"friday";"2pm";"Math"
7;"all";"friday";"3pm";"Hindi"
7;"all";"friday";"4pm";"Science"
