"Standard","Division","Day","Time","Subject"
8,"a","monday","9am","Math"
8,"a","monday","10am","Hindi"
8,"a","monday","11am","Science"
8,"a","monday","2pm","Social"
8,"a","monday","3pm","Tamil/Malayalam"
8,"a","monday","4pm","English"
8,"a","tuesday","9am","Hindi"
8,"a","tuesday","10am","Science"
8,"a","tuesday","11am","Social"
8,"a","tuesday","2pm","Tamil/Malayalam"
8,"a","tuesday","3pm","English"
8,"a","tuesday","4pm","Math"
8,"a","wednesday","9am","Science"
8,"a","wednesday","10am","Social"
8,"a","wednesday","11am","Tamil/Malayalam"
8,"a","wednesday","2pm","English"
8,"a","wednesday","3pm","Math"
8,"a","wednesday","4pm","Hindi"
8,"a","thursday","9am","Social"
8,"a","thursday","10am","Tamil/Malayalam"
8,"a","thursday","11am","English"
8,"a","thursday","2pm","Math"
8,"a","thursday","3pm","Hindi"
8,"a","thursday","4pm","Science"
8,"a","friday","9am","Tamil/Malayalam"
8,"a","friday","10am","English"
8,"a","friday","11am","Math"
8,"a","friday","2pm","Hindi"
8,"a","friday","3pm","Science"
8,"a","friday","4pm","Social"
