Standard,Division,Day,Time,Subject
1,a,monday,9am,tamil
1,a,monday,10am,english
1,a,monday,11am,hindi
1,a,monday,12pm,math
1,a,monday,2pm,science
1,a,monday,3pm,history
1,a,monday,4pm,malayalam
1,a,tuesday,9am,malayalam
1,a,tuesday,10am,history
1,a,tuesday,11am,math
1,a,tuesday,12pm,hindi
1,a,tuesday,2pm,tamil
1,a,tuesday,3pm,science
1,a,tuesday,4pm,english
1,a,wednesday,9am,english
1,a,wednesday,10am,hindi
1,a,wednesday,11am,match
1,a,wednesday,12pm,science
1,a,wednesday,2pm,history
1,a,wednesday,3pm,malayalam
1,a,wednesday,4pm,tamil
1,a,thursday,9am,match
1,a,thursday,10am,science
1,a,thursday,11am,history
1,a,thursday,12pm,malayalam
1,a,thursday,2pm,english
1,a,thursday,3pm,tamil
1,a,thursday,4pm,hindi
1,a,friday,9am,hindi
1,a,friday,10am,tamil
1,a,friday,11am,english
1,a,friday,12pm,history
1,a,friday,2pm,malayalam
1,a,friday,3pm,match
1,a,friday,4pm,science
1,b,monday,9am,tamil
1,b,monday,10am,english
1,b,monday,11am,hindi
1,b,monday,12pm,math
1,b,monday,2pm,science
1,b,monday,3pm,history
1,b,monday,4pm,malayalam
1,b,tuesday,9am,malayalam
1,b,tuesday,10am,history
1,b,tuesday,11am,match
1,b,tuesday,12pm,hindi
1,b,tuesday,2pm,science
1,b,tuesday,3pm,tamil
1,b,tuesday,4pm,english
1,b,wednesday,9am,malayalam
1,b,wednesday,10am,history
1,b,wednesday,11am,science
1,b,wednesday,12pm,hindi
1,b,wednesday,2pm,match
1,b,wednesday,3pm,english
1,b,wednesday,4pm,tamil
1,b,thursday,9am,history
1,b,thursday,10am,science
1,b,thursday,11am,malayalam
1,b,thursday,12pm,tamil
1,b,thursday,2pm,english
1,b,thursday,3pm,match
1,b,thursday,4pm,tamil
1,b,friday,9am,math
1,b,friday,10am,tamil
1,b,friday,11am,history
1,b,friday,12pm,english
1,b,friday,2pm,malayalam
1,b,friday,3pm,science
1,b,friday,4pm,english
2,a,monday,9am,english
2,a,monday,10am,tamil
2,a,monday,11am,malayalam
2,a,monday,12pm,hindi
